url,timestamp_of_change
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/08_martin_van_buren.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/32_franklin_d_roosevelt.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/31/president-trump-works-make-drugs-more-affordable-create-jobs,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/administration/karen-pence,20170207182117
https://www.whitehouse.gov/videos/2017/January/20170131_Press_Briefing_HD.mp4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/26/statement-acting-omb-director-mark-sandy-budgetary-impact-analysis-public-saftey,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/24/executive-order-expediting-environmental-reviews-and-approvals-high,20170207195820
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/02_john_adams%5B1%5D.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/1600/air-force-one,20170207231315
https://www.whitehouse.gov/1600/camp-david,20170207231243
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__Hc9Q6hOUHTcOyxGYHK0wJXVzMmp5SPwwO4mGDJbzNGc__zj_RKq2IjkyFQobZPkJjDOSOJOdr-5N05ip_4K0RX_c__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js,20170207223018
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/13_millard_fillmore.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/speeches-and-remarks,20170207223209
https://www.whitehouse.gov/1600/Presidents,20170207230359
https://www.whitehouse.gov/the-press-office/2017/01/23/presidential-memorandum-regarding-hiring-freeze,20170207195830
https://www.whitehouse.gov/the-press-office/2017/01/26/statement-acting-omb-director-mark-sandy-budgetary-impact-analysis-high-priority,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/January/20170130_Press_Briefing.mp3,unable to retrieve data from Wayback Machine
